# inner_x,inner_y,inner_vel,center_x,center_y,center_vel,outer_x,outer_y,outer_vel,race_x,race_y,race_vel
-0.14278,0.531144,5.999365938011101,0.0,-0.0,5.999358177861632,0.14278,-0.531144,5.9993582892464445,-0.044081,-0.849163,6.0
-0.471113,0.442882,5.9994481072688455,-0.331552,-0.089127,5.999440378442878,-0.192072,-0.621158,5.999440237890565,-0.237225,-0.900921,6.0
-0.799447,0.354625,5.999508278457588,-0.663105,-0.17825,5.999500220466024,-0.526925,-0.711168,5.999499055869006,-0.623512,-1.004444,6.0
-1.127781,0.26637,5.999547745581387,-0.994659,-0.26737,5.9995390191403715,-0.861778,-0.801174,5.999536725810255,-1.009796,-1.107978,6.0
-1.456117,0.178117,5.999570390652419,-1.326214,-0.356488,5.999560720093822,-1.196632,-0.891179,5.999556552095123,-1.202937,-1.15975,6.0
-1.784452,0.089865,5.999570390652419,-1.657768,-0.445605,5.999558747279872,-1.531487,-0.981184,5.999553247714312,-1.589216,-1.263304,6.0
-2.112787,0.001612,5.999565214636183,-1.989323,-0.534724,5.9995541440473215,-1.866341,-1.071189,5.9995492824573375,-1.97549,-1.366872,6.0
-2.441122,-0.086642,5.9995451575732694,-2.320877,-0.623844,5.999534415907823,-2.201194,-1.161196,5.999528795296308,-2.168626,-1.418663,6.0
-2.769456,-0.1749,5.999508925459617,-2.65243,-0.712967,5.999497590047425,-2.536047,-1.251206,5.999491786231223,-2.554894,-1.522257,6.0
-3.097788,-0.263161,5.9994532832850815,-2.983982,-0.802094,5.999440378442878,-2.870899,-1.341221,5.9994336291289425,-2.941157,-1.62587,6.0
-3.42612,-0.351427,5.99937887805169,-3.315533,-0.891226,5.9993647539081305,-3.205749,-1.431241,5.999357628370283,-3.134286,-1.677685,6.0
-3.75445,-0.439699,5.999305766822358,-3.647082,-0.980364,5.999291102187334,-3.540598,-1.521266,5.9992855928685955,-3.520541,-1.781329,6.0
-4.082779,-0.527976,5.999259829678264,-3.97863,-1.069507,5.999247042675787,-3.875445,-1.611297,5.999243296794212,-3.906789,-1.884995,6.0
-4.411106,-0.616258,5.9992345965991145,-4.310176,-1.158655,5.9992220536990875,-4.210291,-1.701333,5.999219505252371,-4.293031,-1.988685,6.0
-4.739432,-0.704545,5.99922812657882,-4.641721,-1.247808,5.999218765675838,-4.545135,-1.791374,5.999218844376209,-4.48615,-2.040539,6.0
-5.067757,-0.792837,5.9992507716498515,-4.973265,-1.336966,5.999243097047886,-4.879978,-1.88142,5.999244618546537,-4.872383,-2.144266,6.0
-5.39608,-0.881133,5.999277298733061,-5.304808,-1.426129,5.999270058838535,-5.21482,-1.971471,5.999271714469188,-5.258608,-2.248019,6.0
-5.724402,-0.969434,5.9993025318122095,-5.636349,-1.515296,5.999296363024534,-5.549661,-2.061527,5.999298149515679,-5.451718,-2.299905,6.0
-6.052723,-1.057739,5.999328411893389,-5.967889,-1.604468,5.999322009605883,-5.8845,-2.151587,5.999324584562169,-5.837933,-2.403698,6.0
-6.381043,-1.146048,5.999353644972541,-6.299428,-1.693644,5.999348971396531,-6.219338,-2.241651,5.999352341360985,-6.22414,-2.507518,6.0
-6.709362,-1.234361,5.999382113061838,-6.630966,-1.782824,5.99937856360578,-6.554175,-2.331719,5.999382741664448,-6.417241,-2.559439,6.0
-7.03768,-1.322678,5.9994099341491065,-6.962503,-1.872008,5.999405525396428,-6.889012,-2.421791,5.999408515834775,-6.803436,-2.663302,6.0
-7.365997,-1.410999,5.99943128521608,-7.294038,-1.961195,5.999428541559177,-7.223847,-2.511867,5.99943296825278,-7.189624,-2.767194,6.0
-7.694313,-1.499324,5.999459753305375,-7.625573,-2.050387,5.999458133768426,-7.558681,-2.601947,5.999464029432406,-7.382715,-2.81915,6.0
-8.022628,-1.587651,5.999487574392644,-7.957107,-2.139581,5.9994850955590735,-7.893514,-2.69203,5.999489142726572,-7.768892,-2.923085,6.0
-8.350942,-1.675983,5.9995102194636765,-8.28864,-2.228779,5.999509426931124,-8.228346,-2.782116,5.999515577773062,-8.15506,-3.02705,6.0
-8.679255,-1.764317,5.999538687552972,-8.620172,-2.31798,5.999538361535723,-8.563178,-2.872206,5.999544656324202,-8.541221,-3.131043,6.0
-9.007568,-1.852654,5.999565214636183,-8.951704,-2.407184,5.999565323326371,-8.898008,-2.962298,5.999571091370693,-8.734298,-3.183051,6.0
-9.335879,-1.940994,5.999590447715332,-9.283234,-2.496391,5.99959162751237,-9.232838,-3.052394,5.999598187293344,-9.120447,-3.287087,6.0
-9.66419,-2.029336,5.999617621800572,-9.614764,-2.585601,5.999619904512318,-9.567667,-3.142492,5.9996272658444845,-9.506588,-3.391153,6.0
-9.992501,-2.117682,5.99964350188175,-9.946293,-2.674813,5.999644893489018,-9.902496,-3.232593,5.999651718262489,-9.699656,-3.443196,6.0
-10.32081,-2.206029,5.999667440956842,-10.277822,-2.764027,5.999671855279666,-10.237323,-3.322695,5.999680796813627,-10.085786,-3.547303,6.0
-10.64912,-2.294379,5.999697203050199,-10.60935,-2.853244,5.999701447488913,-10.572151,-3.412801,5.999709214488603,-10.471909,-3.651438,6.0
