Epoch 0 | Train Loss: 49.419003800128365 | Test Loss: 71.87889398154566
Epoch 1 | Train Loss: 30.196268238158936 | Test Loss: 21.067317394886988
Epoch 2 | Train Loss: 25.474752384804663 | Test Loss: 23.397002731339406
Epoch 3 | Train Loss: 24.038443367785597 | Test Loss: 19.9023385664164
Epoch 4 | Train Loss: 20.85225860387721 | Test Loss: 17.87692538762497
Epoch 5 | Train Loss: 20.462778606059704 | Test Loss: 22.885482500165196
Epoch 6 | Train Loss: 19.389279147919186 | Test Loss: 16.61246143306716
Epoch 7 | Train Loss: 19.099534333259502 | Test Loss: 14.875133697259225
Epoch 8 | Train Loss: 17.88619826106315 | Test Loss: 14.46926773099576
Epoch 9 | Train Loss: 18.191647438039173 | Test Loss: 15.547814352532564
Epoch 10 | Train Loss: 17.699850949201178 | Test Loss: 13.719433283401749
Epoch 11 | Train Loss: 16.584912060803557 | Test Loss: 17.421790329076476
Epoch 12 | Train Loss: 15.131190486410832 | Test Loss: 18.245424332255023
Epoch 13 | Train Loss: 16.28497862638311 | Test Loss: 12.159068712743663
Epoch 14 | Train Loss: 17.727456554199787 | Test Loss: 23.76862398749691
Epoch 15 | Train Loss: 16.421232814484455 | Test Loss: 17.691404217380587
Epoch 16 | Train Loss: 14.806426049166538 | Test Loss: 12.201480702323428
Epoch 17 | Train Loss: 13.971090571170157 | Test Loss: 15.365822553634644
Epoch 18 | Train Loss: 14.604435710450437 | Test Loss: 20.078693072169514
Epoch 19 | Train Loss: 13.797768298362163 | Test Loss: 10.721403353295084
Epoch 20 | Train Loss: 13.820399441237145 | Test Loss: 10.395071013499114
Epoch 21 | Train Loss: 12.59735820813382 | Test Loss: 13.299031897116516
Epoch 22 | Train Loss: 12.967179109187837 | Test Loss: 10.156727746886721
Epoch 23 | Train Loss: 12.9253601496524 | Test Loss: 16.89580528412835
Epoch 24 | Train Loss: 12.148453678729686 | Test Loss: 9.853417847116114
Epoch 25 | Train Loss: 12.800043031636704 | Test Loss: 9.38803742093555
Epoch 26 | Train Loss: 11.891312510028799 | Test Loss: 10.567469226101698
Epoch 27 | Train Loss: 12.318060803096346 | Test Loss: 10.143322244033975
Epoch 28 | Train Loss: 11.81894777404501 | Test Loss: 14.85450145198127
Epoch 29 | Train Loss: 12.957259144554747 | Test Loss: 11.973377638449103
Epoch 30 | Train Loss: 12.931385355934184 | Test Loss: 14.441872719991006
Epoch 31 | Train Loss: 11.110179565878624 | Test Loss: 8.407849615913326
Epoch 32 | Train Loss: 12.057795125626503 | Test Loss: 9.364829143225137
Epoch 33 | Train Loss: 11.085549563613343 | Test Loss: 18.75487696518332
Epoch 34 | Train Loss: 10.758540794570395 | Test Loss: 8.797853805756164
Epoch 35 | Train Loss: 10.71815789690677 | Test Loss: 8.770423264069072
Epoch 36 | Train Loss: 10.140442370987953 | Test Loss: 9.138326831161976
Epoch 37 | Train Loss: 10.475569320739584 | Test Loss: 10.864314540968103
Epoch 38 | Train Loss: 10.216150226998836 | Test Loss: 8.478810006531619
Epoch 39 | Train Loss: 10.487938760950211 | Test Loss: 14.084111241971032
Epoch 40 | Train Loss: 10.929312873774386 | Test Loss: 12.118799675319154
Epoch 41 | Train Loss: 8.750520630973451 | Test Loss: 7.5197080262636735
Epoch 42 | Train Loss: 9.876677742093168 | Test Loss: 12.004297834331707
Epoch 43 | Train Loss: 9.282962917330417 | Test Loss: 5.802374885243885
Epoch 44 | Train Loss: 10.103379472424376 | Test Loss: 11.661337379176738
